signal,GT,Det,TP,FP,FN,Sens%,PPV%,record,activity
s_raw_uncal,829,828,828,0,1,99.87937273823884,100.0,s10_run,run
s_obs,829,828,828,0,1,99.87937273823884,100.0,s10_run,run
s_clean_single,829,828,828,0,1,99.87937273823884,100.0,s10_run,run
s_clean_dual,829,828,828,0,1,99.87937273823884,100.0,s10_run,run
s_raw_uncal,604,604,604,0,0,100.0,100.0,s10_sit,sit
s_obs,604,604,604,0,0,100.0,100.0,s10_sit,sit
s_clean_single,604,604,604,0,0,100.0,100.0,s10_sit,sit
s_clean_dual,604,604,604,0,0,100.0,100.0,s10_sit,sit
s_raw_uncal,708,708,708,0,0,100.0,100.0,s10_walk,walk
s_obs,708,708,708,0,0,100.0,100.0,s10_walk,walk
s_clean_single,708,708,708,0,0,100.0,100.0,s10_walk,walk
s_clean_dual,708,708,708,0,0,100.0,100.0,s10_walk,walk
s_raw_uncal,720,720,720,0,0,100.0,100.0,s11_run,run
s_obs,720,720,720,0,0,100.0,100.0,s11_run,run
s_clean_single,720,720,720,0,0,100.0,100.0,s11_run,run
s_clean_dual,720,720,720,0,0,100.0,100.0,s11_run,run
s_raw_uncal,588,588,588,0,0,100.0,100.0,s11_sit,sit
s_obs,588,588,588,0,0,100.0,100.0,s11_sit,sit
s_clean_single,588,588,588,0,0,100.0,100.0,s11_sit,sit
s_clean_dual,588,589,587,2,1,99.82993197278911,99.66044142614601,s11_sit,sit
s_raw_uncal,676,675,675,0,1,99.85207100591715,100.0,s11_walk,walk
s_obs,676,675,675,0,1,99.85207100591715,100.0,s11_walk,walk
s_clean_single,676,675,675,0,1,99.85207100591715,100.0,s11_walk,walk
s_clean_dual,676,675,675,0,1,99.85207100591715,100.0,s11_walk,walk
s_raw_uncal,728,733,667,66,61,91.62087912087912,90.99590723055934,s12_run,run
s_obs,728,728,679,49,49,93.26923076923077,93.26923076923077,s12_run,run
s_clean_single,728,732,673,59,55,92.44505494505495,91.93989071038251,s12_run,run
